name,tweets,followers_count
imroig,5332,466
_mandooooooo,213,154
rm2382,44,31
Yang_x98,0,0
Boom88265826,4264,74
eleniandris,0,1
mkloughran,2092,693
MollySumridge,88,60
PerryClements12,0,8
landstaylor1,11,5
S_D_Society,2444,2177
Jennife15306871,6,39
RikPrajapat2,70,17
blog_edu_abroad,32,3
hoffarth_jason,176,19
StlTreats,48,55
DivyaMe32978782,24,7
WashUi2,56,111
kc1jlw,977,48
HalinaSundling,21,431
preciseasthma,101,54
HeatherKeck14,1959,679
OrtygiaBS,649,342
Doctor4Africa,458,621
ashokapol,2,23
lizzievanes,1,28
gallomj,9,18
takaizemidesuyo,236,473
BoranianJohn,2,26
PeitzDiaz,0,3
GaoShichen,2,0
marcoru89,1131,97
MaryBle47183695,1,39
scsportsmanship,1497,283
AntonioLuk2,0,1
cheryl_diehl,8,16
DogmaticEquati1,0,0
TeresaFloch,4666,300
fig_house,1,2
rzarcone,3,1
Tingtin53002824,0,0
WhitselAnne,7,18
izr81,671,118
shivanij28,0,11
jtwhittle,7,14
sacy51,0,1
JohnViviano,33,9
mollyrogerss,1908,603
slaaff,7,12
sarmila061,0,6
LaurenAverillMD,10,72
TRPMumbai,1268,1329
ToddBeatty57,74,146
MrMPeaks,308,138
miyakohallier,1,13
fueledbylaunch,1244,829
rachelwhitmoyer,11,12
cmsorrell09,1535,135
Roger__95,2,7
mabufeng,0,147
j12_alice,95,59
tsichend,0,7
BetsyBPace,85,13
avoutsource,511,95
LisaMatheson20,15,14
ivychatbot,177,75
ejfourni,908,167
ISoulaymane,0,0
Hope13248352,2422,670
AngelaMickle1,5,17
zJennie76,1,3
Catchuprobyn60,235,1
Boris09189408,7,3
AbhiBha28703748,3261,17
gwengklein,470,305
silvergirl2588,14,18
renitamongo,1,0
odarwazah,864,501
sun3332016,10,43
patrickjflyers,0,0
kandle_rob,8,3
MelV_77,11,22
theJustinWaters,670,136
gardenhart619,0,6
ApplicationDocs,41,467
ShaileshCBRaval,42,47
EmilyFilmore,1093,369
UCSDfacaffairs,83,219
TherrienLeon,0,5
PhilipCDenton,18,13
helenkaul1,0,1
QingyunTristan,75,265
quinndaul,849,186
Diana_Garza_,410,327
_glab_,0,0
athulsagar,96,70
FithiAndom,1864,451
scientistleo,190,87
KaanDincer11,0,1
Pevitz_97,3797,530
Vikas_R_D,370,414
dukeBJ,93,29
Rashed_legal,51,9
DavidSchwister,49,58
stephwhet,629,79
DjaffarKarim,0,19
EmilyPDowdle,9,29
JocelynSeagrave,575,442
ArchMedicine,186,797
WorsMaxwell,0,52
Alan__Yam,554,70
robertmudra,531,378
OrgStratProf,1445,2664
ZitoJacob,129,42
VictorTran1234,1228,0
duboisfurniture,792,221
MichaelKinch,632,387
RobertL11140749,272,105
christianbhenry,114,57
NadiaRuiz26,19,34
Caitlin57118304,0,0
akates1,330,546
Doc_Tewari,72,19
lsmith_04,2,8
GervasiLawrence,36,31
thermophila,380,185
LaxmiKirola,2,4
vkalil2,79,10
jaydlugin,7553,313
jessicakcissell,0,14
kxdxst,231,63
moreland_edu,5,11
GCLTrinidad,36,30
BransonPipko39,220,119
ramaromp,87,15
aaron_beamer,14,2
rmdave7,0,20
STLSnowCone,7292,471
JindalGlobalUNI,1842,4260
femmephatale_,4487,353
HitenDPatel,311,547
jseyforthspt,3567,191
caldwelk,38,16
Patrick98356558,8,37
WashUFWIM,72,66
KawhiBestPlayer,1441,20
Chrxstxphxr,60141,1139
LilMikeyJames,24,35
nsdek_natalie,0,0
tomblaolcom,8,6
CherylSimcox,0,30
modayton,105,31
KaitlinR_Day,0,1
L_Miserez,199,75
stonehengelabs,120,29
ljbrugger,0,3
DonnellyKerry1,4,12
HaileyB19129917,0,3
AnushaNKumar24,0,1
alesandrareads,226,28
marquiswhoswho,284,81
VoteScottQuinn,1,5
GbambalyKarim,0,1
JetBrokers,946,469
seanrwisner,1243,43
davidhdobson,735,50
sarahwgao,17,8
NadineNBell,1,1
