name,tweets,followers_count
SJGivensSTL,952,595
neilmrichards,1533,2357
pulitzerarts,4804,16318
wustlCPC,31,78
WashULaw,7261,2182
WUSTLpacs,1252,828
WUSTLSIS,1840,831
WashUsummer,769,514
WashUBasketball,1879,1425
BillGates,3141,47845600
kadesoto,11199,1274
SitemanCenter,4165,13652
TED_TALKS,2667,694519
wustlsummerexp,1297,249
Twitter,11332,56526369
WUSTLPostdoc,2299,1049
TEDTalks,33608,11294015
WUSTLoiss,770,843
AP,248883,13466801
rlippmann,35837,9954
NoraNora4100,2237,1215
ABI_WashU,0,9
ForestPark4Ever,7880,8631
stlbizesherberg,7437,7567
TweetsbyCYM,1687,749
TheNineNetwork,24157,20002
WUSTLDUC,5,73
dianekeaggy,3064,1788
HuffPostBooks,35732,290789
RisaZw,31,197
missioncontinue,8826,19947
EasternRAC,271,41
StlArtMuseum,5290,27256
WashUCurling,69,176
holdenWU,4688,7747
WUSTLArtSci,7545,2469
SkandalarisCtr,3440,2966
WashULaw_online,394,1632
ProfWrightonWU,1511,4493
WUGetInvolved,1356,578
studlife,9145,5972
WUSTL_thinks,1895,546
DIFFSATWUSTL,12,40
CGIU,4655,60849
WUSTL_English,461,267
WUFYC,1388,970
WUSTLOT,933,795
SamFoxSchool,9808,2351
WashUAlumni,4625,2576
BioSTL,3128,4939
WUSTLbusiness,6315,4236
WUSTLSustain,1296,1283
wustlsts,551,472
quadranglewashu,135,125
washuSWI,305,204
CAIT_WUSTL,211,186
WUBrookings,135,156
WUSTLnews,12188,9324
WUSTLdining,810,668
EdisonTheatre,376,620
WUSTLGephardt,1507,1228
WUADRC,1758,523
washu_su,1390,1840
YourDiseaseRisk,3440,831
WASHUBears,21641,5963
WUSTLlibraries,4026,1775
WUSTLdigital,97,462
BrownSchool,2846,4326
WUSTLmed,7924,15030
WUSTLq,21,191
WUSTLcso,199,806
WASHUmSoccer,3388,590
kemperartmuseum,3767,46019
WashUengineers,7351,4913
WUSTLcareers,2275,3782
WUSTLucollege,2032,2186
